"latlon_1","latlon_2","minutes","metres"
"52.204115,0.11827","52.197151,0.12947",15.7,1283
"52.204115,0.11827","52.200312,0.148074",31.8,2625
"52.204115,0.11827","52.194151,0.131287",20.4,1674
"52.204115,0.11827","52.20174,0.124801",8.1,665
"52.204115,0.11827","52.202564,0.141934",27.1,2232
"52.204115,0.11827","52.2281,0.145945",45.4,3709
"52.204115,0.11827","52.200081,0.113542",7.9,668
"52.204115,0.11827","52.215347,0.110694",19.9,1579
"52.204115,0.11827","52.19519,0.131527",19.1,1560
"52.204115,0.11827","52.175104,0.112942",43.4,3533
"52.204115,0.11827","52.209395,0.118653",8.7,740
"52.204115,0.11827","52.207357,0.129475",12.5,1051
"52.204115,0.11827","52.188419,0.152841",43.7,3605
"52.204115,0.11827","52.201476,0.116505",4.4,380
"52.204115,0.11827","52.222428,0.135906",34.7,2822
"52.204115,0.11827","52.209025,0.118255",8.2,692
"52.204115,0.11827","52.214511,0.124679",18.8,1552
"52.204115,0.11827","52.210943,0.112564",13.7,1137
"52.204115,0.11827","52.188744,0.138899",30.2,2470
"52.204115,0.11827","52.187377,0.147348",37.1,3065
"52.204115,0.11827","52.229653,0.127701",43.8,3543
"52.204115,0.11827","52.205707,0.134211",15.8,1306
"52.204115,0.11827","52.197912,0.123667",10.4,865
"52.204115,0.11827","52.204654,0.13277",16.8,1401
"52.204115,0.11827","52.199286,0.139698",22.1,1814
"52.213738,0.124159","52.204222,0.120324",18.4,1471
"52.213738,0.124159","52.207309,0.124159",13.7,1082
"52.213738,0.124159","52.204932,0.127807",15.7,1243
"52.213738,0.124159","52.198334,0.142623",31.9,2567
"52.213738,0.124159","52.193371,0.133181",33.8,2713
"52.213738,0.124159","52.21817,0.146081",21.1,1682
"52.213738,0.124159","52.230666,0.138805",32,2577
"52.213738,0.124159","52.200288,0.14001",28.8,2296
"52.213738,0.124159","52.198979,0.134796",28.4,2259
"52.213738,0.124159","52.174445,0.111068",61.8,5016
"52.213738,0.124159","52.21381,0.127675",4.7,352
"52.213738,0.124159","52.196295,0.125083",29.9,2405
"52.213738,0.124159","52.210223,0.115604",9.9,790
"52.213738,0.124159","52.200195,0.126718",23.5,1877
"52.213738,0.124159","52.196903,0.107245",34.6,2816
"52.213738,0.124159","52.186903,0.171259",67.9,5544
"52.213738,0.124159","52.198688,0.135513",28.7,2285
"52.213738,0.124159","52.213078,0.112826",13.2,1001
"52.213738,0.124159","52.200132,0.134222",25.9,2057
"52.213738,0.124159","52.207484,0.125924",12.2,957
"52.213738,0.124159","52.19617,0.126028",30.9,2486
"52.213738,0.124159","52.202093,0.116213",20.6,1673
"52.213738,0.124159","52.201027,0.125982",21.9,1748
"52.213738,0.124159","52.204605,0.137934",21.5,1690
"52.213738,0.124159","52.196092,0.155114",42.5,3466
"52.213738,0.124159","52.208346,0.133488",15.1,1179
"52.213738,0.124159","52.202987,0.138925",24.1,1897
"52.213738,0.124159","52.207449,0.122878",14.7,1171
"52.213738,0.124159","52.221817,0.118453",18.1,1421
"52.213738,0.124159","52.215658,0.116916",7.3,550
"52.213738,0.124159","52.20279,0.123446",20.6,1637
"52.213738,0.124159","52.210305,0.144955",24.2,1955
"52.213738,0.124159","52.212441,0.112782",12.5,967
"52.213738,0.124159","52.204852,0.1402",22.8,1804
