"latlon_1","latlon_2","minutes","metres"
"52.21817,0.146081","52.186903,0.171259",64,5213
"52.21817,0.146081","52.198688,0.135513",34.7,2816
"52.21817,0.146081","52.213078,0.112826",33.8,2643
"52.21817,0.146081","52.200132,0.134222",32.8,2648
"52.21817,0.146081","52.207484,0.125924",25.5,2072
"52.21817,0.146081","52.19617,0.126028",40.5,3295
"52.21817,0.146081","52.202093,0.116213",38.8,3168
"52.21817,0.146081","52.201027,0.125982",33.5,2741
"52.21817,0.146081","52.204605,0.137934",25,2029
"52.21817,0.146081","52.196092,0.155114",39.7,3238
"52.21817,0.146081","52.208346,0.133488",19.9,1621
"52.21817,0.146081","52.202987,0.138925",27.9,2265
"52.21817,0.146081","52.207449,0.122878",28.1,2286
"52.21817,0.146081","52.221817,0.118453",34,2743
"52.21817,0.146081","52.215658,0.116916",27.9,2193
"52.21817,0.146081","52.20279,0.123446",34,2749
"52.21817,0.146081","52.210305,0.144955",13.9,1136
"52.21817,0.146081","52.212441,0.112782",33.8,2649
"52.21817,0.146081","52.204852,0.1402",22.8,1847
"52.21817,0.146081","52.2047,0.133197",24.9,2018
"52.21817,0.146081","52.204115,0.11827",35.4,2881
"52.21817,0.146081","52.205447,0.128666",26.4,2163
"52.21817,0.146081","52.197151,0.12947",37.4,3029
"52.21817,0.146081","52.200312,0.148074",31.9,2574
"52.21817,0.146081","52.194151,0.131287",42.1,3419
"52.21817,0.146081","52.20174,0.124801",32.6,2659
"52.21817,0.146081","52.202564,0.141934",26.2,2123
"52.21817,0.146081","52.2281,0.145945",17,1365
"52.21817,0.146081","52.200081,0.113542",43,3517
"52.21817,0.146081","52.215347,0.110694",34.9,2735
"52.21817,0.146081","52.19519,0.131527",40.8,3306
"52.21817,0.146081","52.175104,0.112942",72.1,5880
"52.21817,0.146081","52.209395,0.118653",30.3,2405
"52.21817,0.146081","52.207357,0.129475",23.8,1942
"52.21817,0.146081","52.188419,0.152841",50.5,4099
"52.21817,0.146081","52.201476,0.116505",38.2,3114
"52.21817,0.146081","52.222428,0.135906",16.2,1305
"52.21817,0.146081","52.209025,0.118255",30.9,2453
"52.21817,0.146081","52.214511,0.124679",20.5,1630
"52.21817,0.146081","52.210943,0.112564",32.8,2595
"52.21817,0.146081","52.188744,0.138899",47.7,3886
"52.21817,0.146081","52.187377,0.147348",52.5,4286
"52.21817,0.146081","52.229653,0.127701",28.3,2284
"52.21817,0.146081","52.205707,0.134211",24.4,1973
"52.21817,0.146081","52.197912,0.123667",37.4,3039
"52.21817,0.146081","52.204654,0.13277",26.2,2126
"52.21817,0.146081","52.213738,0.124159",21.2,1682
"52.21817,0.146081","52.199286,0.139698",31.6,2562
"52.230666,0.138805","52.207309,0.124159",43.2,3487
"52.230666,0.138805","52.200288,0.14001",50.3,4053
"52.230666,0.138805","52.198979,0.134796",54,4331
"52.230666,0.138805","52.174445,0.111068",93.2,7550
"52.230666,0.138805","52.21381,0.127675",30.8,2523
"52.230666,0.138805","52.196295,0.125083",59.1,4755
"52.230666,0.138805","52.210223,0.115604",41.6,3367
"52.230666,0.138805","52.200195,0.126718",53,4282
"52.230666,0.138805","52.196903,0.107245",66.3,5393
"52.230666,0.138805","52.186903,0.171259",88,7178
"52.230666,0.138805","52.198688,0.135513",54.3,4357
"52.230666,0.138805","52.213078,0.112826",37.4,2993
"52.230666,0.138805","52.200132,0.134222",52.4,4189
"52.230666,0.138805","52.207484,0.125924",41.7,3362
"52.230666,0.138805","52.19617,0.126028",60.1,4836
"52.230666,0.138805","52.202093,0.116213",52.3,4249
"52.230666,0.138805","52.201027,0.125982",51.5,4153
"52.230666,0.138805","52.204605,0.137934",44.6,3570
"52.230666,0.138805","52.196092,0.155114",63.7,5203
"52.230666,0.138805","52.208346,0.133488",40,3216
"52.230666,0.138805","52.202987,0.138925",47.5,3806
"52.230666,0.138805","52.207449,0.122878",44.3,3576
"52.230666,0.138805","52.221817,0.118453",24.2,1946
"52.230666,0.138805","52.215658,0.116916",33.2,2687
"52.230666,0.138805","52.20279,0.123446",50.2,4042
"52.230666,0.138805","52.210305,0.144955",38,3100
"52.230666,0.138805","52.212441,0.112782",38,3055
"52.230666,0.138805","52.204852,0.1402",43.8,3520
"52.230666,0.138805","52.2047,0.133197",44.5,3559
"52.230666,0.138805","52.204115,0.11827",49.9,4040
"52.230666,0.138805","52.205447,0.128666",44.4,3575
"52.230666,0.138805","52.197151,0.12947",57,4569
"52.230666,0.138805","52.200312,0.148074",56,4539
"52.230666,0.138805","52.194151,0.131287",61.8,4960
"52.230666,0.138805","52.20174,0.124801",50.6,4071
"52.230666,0.138805","52.202564,0.141934",47.8,3827
"52.230666,0.138805","52.2281,0.145945",9.2,759
"52.230666,0.138805","52.200081,0.113542",57.7,4692
"52.230666,0.138805","52.215347,0.110694",38,3065
"52.230666,0.138805","52.19519,0.131527",60.4,4847
"52.230666,0.138805","52.175104,0.112942",91.7,7421
"52.230666,0.138805","52.209395,0.118653",40.8,3300
"52.230666,0.138805","52.207357,0.129475",41.7,3355
"52.230666,0.138805","52.188419,0.152841",74.5,6064
"52.230666,0.138805","52.201476,0.116505",53,4310
"52.230666,0.138805","52.222428,0.135906",15.5,1269
"52.230666,0.138805","52.209025,0.118255",41.4,3348
"52.230666,0.138805","52.214511,0.124679",30.5,2488
"52.230666,0.138805","52.210943,0.112564",40.4,3276
"52.230666,0.138805","52.188744,0.138899",68.7,5558
"52.230666,0.138805","52.187377,0.147348",74.4,6063
"52.230666,0.138805","52.229653,0.127701",12.9,1068
"52.230666,0.138805","52.205707,0.134211",44.2,3551
"52.230666,0.138805","52.197912,0.123667",57,4579
"52.230666,0.138805","52.204654,0.13277",46,3704
"52.230666,0.138805","52.213738,0.124159",31.7,2577
"52.230666,0.138805","52.199286,0.139698",52.6,4235
"52.200288,0.14001","52.198979,0.134796",7.2,590
"52.200288,0.14001","52.174445,0.111068",47.9,3922
"52.200288,0.14001","52.21381,0.127675",29.5,2455
"52.200288,0.14001","52.196295,0.125083",17.5,1453
"52.200288,0.14001","52.210223,0.115604",28.7,2384
"52.200288,0.14001","52.200195,0.126718",16,1312
"52.200288,0.14001","52.196903,0.107245",33.6,2731
"52.200288,0.14001","52.186903,0.171259",40.5,3350
"52.200288,0.14001","52.198688,0.135513",6.9,558
"52.200288,0.14001","52.213078,0.112826",34.4,2787
"52.200288,0.14001","52.200132,0.134222",7.3,602
"52.200288,0.14001","52.207484,0.125924",19.7,1643
"52.200288,0.14001","52.19617,0.126028",17.1,1426
"52.200288,0.14001","52.202093,0.116213",24.4,2026
"52.200288,0.14001","52.201027,0.125982",15.6,1284
"52.200288,0.14001","52.204605,0.137934",7.2,605
"52.200288,0.14001","52.196092,0.155114",15.1,1272
"52.200288,0.14001","52.208346,0.133488",16.2,1320
"52.200288,0.14001","52.202987,0.138925",8.1,672
"52.200288,0.14001","52.207449,0.122878",21,1749
"52.200288,0.14001","52.221817,0.118453",44.1,3544
"52.200288,0.14001","52.215658,0.116916",35.2,2823
"52.200288,0.14001","52.20279,0.123446",19.6,1606
"52.200288,0.14001","52.210305,0.144955",20.9,1730
"52.200288,0.14001","52.212441,0.112782",33.1,2692
"52.200288,0.14001","52.204852,0.1402",6.4,533
"52.200288,0.14001","52.2047,0.133197",11.5,951
"52.200288,0.14001","52.204115,0.11827",23,1891
"52.200288,0.14001","52.205447,0.128666",15.3,1272
"52.200288,0.14001","52.197151,0.12947",13.1,1088
"52.200288,0.14001","52.200312,0.148074",12,993
"52.200288,0.14001","52.194151,0.131287",15.2,1244
"52.200288,0.14001","52.20174,0.124801",15.1,1234
"52.200288,0.14001","52.202564,0.141934",4.4,370
"52.200288,0.14001","52.2281,0.145945",45.7,3722
"52.200288,0.14001","52.200081,0.113542",28.6,2375
"52.200288,0.14001","52.215347,0.110694",38.2,3080
"52.200288,0.14001","52.19519,0.131527",13.3,1095
"52.200288,0.14001","52.175104,0.112942",46.3,3793
"52.200288,0.14001","52.209395,0.118653",27,2241
"52.200288,0.14001","52.207357,0.129475",16.8,1381
"52.200288,0.14001","52.188419,0.152841",26.1,2186
"52.200288,0.14001","52.201476,0.116505",23.8,1972
"52.200288,0.14001","52.222428,0.135906",35,2835
"52.200288,0.14001","52.209025,0.118255",26.4,2193
"52.200288,0.14001","52.214511,0.124679",27.8,2260
"52.200288,0.14001","52.210943,0.112564",32,2638
"52.200288,0.14001","52.188744,0.138899",18.4,1505
"52.200288,0.14001","52.187377,0.147348",24.1,2010
"52.200288,0.14001","52.229653,0.127701",47,3814
"52.200288,0.14001","52.205707,0.134211",11.9,956
"52.200288,0.14001","52.197912,0.123667",18.2,1495
"52.200288,0.14001","52.204654,0.13277",13.3,1076
"52.200288,0.14001","52.213738,0.124159",28.1,2296
"52.200288,0.14001","52.199286,0.139698",2.3,182
"52.198979,0.134796","52.174445,0.111068",44.8,3699
"52.198979,0.134796","52.21381,0.127675",28.9,2377
"52.198979,0.134796","52.196295,0.125083",10.4,879
"52.198979,0.134796","52.210223,0.115604",25.4,2115
"52.198979,0.134796","52.200195,0.126718",10.2,835
"52.198979,0.134796","52.196903,0.107245",26.8,2207
"52.198979,0.134796","52.186903,0.171259",44.4,3681
"52.198979,0.134796","52.198688,0.135513",1.5,126
"52.198979,0.134796","52.213078,0.112826",31.1,2519
"52.198979,0.134796","52.200132,0.134222",2.2,184
"52.198979,0.134796","52.207484,0.125924",17.3,1450
"52.198979,0.134796","52.19617,0.126028",10.6,895
"52.198979,0.134796","52.202093,0.116213",21.1,1758
"52.198979,0.134796","52.201027,0.125982",10.2,845
"52.198979,0.134796","52.204605,0.137934",9.4,788
"52.198979,0.134796","52.196092,0.155114",19,1603
"52.198979,0.134796","52.208346,0.133488",17.9,1474
"52.198979,0.134796","52.202987,0.138925",8.6,718
"52.198979,0.134796","52.207449,0.122878",18.6,1556
"52.198979,0.134796","52.221817,0.118453",43.3,3508
"52.198979,0.134796","52.215658,0.116916",34.4,2787
"52.198979,0.134796","52.20279,0.123446",16.3,1338
"52.198979,0.134796","52.210305,0.144955",25.9,2152
"52.198979,0.134796","52.212441,0.112782",29.8,2424
"52.198979,0.134796","52.204852,0.1402",11.8,992
"52.198979,0.134796","52.2047,0.133197",9.9,832
"52.198979,0.134796","52.204115,0.11827",19.6,1622
"52.198979,0.134796","52.205447,0.128666",12.9,1078
"52.198979,0.134796","52.197151,0.12947",6.6,556
"52.198979,0.134796","52.200312,0.148074",15.9,1324
"52.198979,0.134796","52.194151,0.131287",9.8,813
"52.198979,0.134796","52.20174,0.124801",11.8,965
"52.198979,0.134796","52.202564,0.141934",11.1,931
"52.198979,0.134796","52.2281,0.145945",49.3,4014
"52.198979,0.134796","52.200081,0.113542",23,1892
"52.198979,0.134796","52.215347,0.110694",34.9,2812
"52.198979,0.134796","52.19519,0.131527",8.4,700
"52.198979,0.134796","52.175104,0.112942",43.3,3570
"52.198979,0.134796","52.209395,0.118653",23.7,1973
"52.198979,0.134796","52.207357,0.129475",16,1345
"52.198979,0.134796","52.188419,0.152841",27.4,2300
"52.198979,0.134796","52.201476,0.116505",20.4,1704
"52.198979,0.134796","52.222428,0.135906",38.6,3127
"52.198979,0.134796","52.209025,0.118255",23.1,1925
"52.198979,0.134796","52.214511,0.124679",27,2224
"52.198979,0.134796","52.210943,0.112564",28.6,2370
"52.198979,0.134796","52.188744,0.138899",19.5,1609
"52.198979,0.134796","52.187377,0.147348",25.2,2123
"52.198979,0.134796","52.229653,0.127701",50.6,4106
"52.198979,0.134796","52.205707,0.134211",12,987
"52.198979,0.134796","52.197912,0.123667",12.2,1013
"52.198979,0.134796","52.204654,0.13277",11.9,996
"52.198979,0.134796","52.213738,0.124159",27.4,2259
"52.198979,0.134796","52.199286,0.139698",6.2,513
"52.174445,0.111068","52.21381,0.127675",65,5341
"52.174445,0.111068","52.196295,0.125083",34.2,2847
"52.174445,0.111068","52.210223,0.115604",53.8,4435
"52.174445,0.111068","52.200195,0.126718",40.9,3376
"52.174445,0.111068","52.196903,0.107245",41.8,3478
"52.174445,0.111068","52.186903,0.171259",62.7,5133
"52.174445,0.111068","52.198688,0.135513",45.5,3757
"52.174445,0.111068","52.213078,0.112826",59.5,4839
"52.174445,0.111068","52.200132,0.134222",45.7,3779
"52.174445,0.111068","52.207484,0.125924",51.4,4273
"52.174445,0.111068","52.19617,0.126028",34.4,2864
"52.174445,0.111068","52.202093,0.116213",43.4,3568
"52.174445,0.111068","52.201027,0.125982",42.1,3482
"52.174445,0.111068","52.204605,0.137934",52.7,4336
"52.174445,0.111068","52.196092,0.155114",58.8,4877
"52.174445,0.111068","52.208346,0.133488",54.8,4523
"52.174445,0.111068","52.202987,0.138925",52.4,4324
"52.174445,0.111068","52.207449,0.122878",51.8,4260
"52.174445,0.111068","52.221817,0.118453",76,6187
"52.174445,0.111068","52.215658,0.116916",63.4,5206
"52.174445,0.111068","52.20279,0.123446",44.1,3641
"52.174445,0.111068","52.210305,0.144955",65.7,5406
"52.174445,0.111068","52.212441,0.112782",58.2,4744
"52.174445,0.111068","52.204852,0.1402",54,4455
"52.174445,0.111068","52.2047,0.133197",48.3,3991
"52.174445,0.111068","52.204115,0.11827",44.7,3663
"52.174445,0.111068","52.205447,0.128666",48.9,4044
"52.174445,0.111068","52.197151,0.12947",38.9,3226
"52.174445,0.111068","52.200312,0.148074",56.4,4656
"52.174445,0.111068","52.194151,0.131287",37.9,3134
"52.174445,0.111068","52.20174,0.124801",43.5,3589
"52.174445,0.111068","52.202564,0.141934",52,4292
"52.174445,0.111068","52.2281,0.145945",88.2,7221
"52.174445,0.111068","52.200081,0.113542",41.6,3456
"52.174445,0.111068","52.215347,0.110694",63.2,5132
"52.174445,0.111068","52.19519,0.131527",38.4,3176
"52.174445,0.111068","52.175104,0.112942",2.2,176
"52.174445,0.111068","52.209395,0.118653",52.1,4293
"52.174445,0.111068","52.207357,0.129475",51.7,4285
"52.174445,0.111068","52.188419,0.152841",49.8,4108
"52.174445,0.111068","52.201476,0.116505",43,3570
"52.174445,0.111068","52.222428,0.135906",77.5,6334
"52.174445,0.111068","52.209025,0.118255",51.5,4245
"52.174445,0.111068","52.214511,0.124679",62.1,5105
"52.174445,0.111068","52.210943,0.112564",57,4690
"52.174445,0.111068","52.188744,0.138899",41.2,3390
"52.174445,0.111068","52.187377,0.147348",44.9,3735
"52.174445,0.111068","52.229653,0.127701",87.2,7096
"52.174445,0.111068","52.205707,0.134211",50.5,4146
"52.174445,0.111068","52.197912,0.123667",35.4,2938
"52.174445,0.111068","52.204654,0.13277",50.4,4154
"52.174445,0.111068","52.213738,0.124159",60.9,5016
"52.174445,0.111068","52.199286,0.139698",46.6,3845
"52.21381,0.127675","52.196295,0.125083",31.4,2523
"52.21381,0.127675","52.210223,0.115604",14.5,1142
"52.21381,0.127675","52.200195,0.126718",25,1995
"52.21381,0.127675","52.196903,0.107245",37.4,3047
"52.21381,0.127675","52.186903,0.171259",69.4,5662
"52.21381,0.127675","52.198688,0.135513",30.2,2403
"52.21381,0.127675","52.213078,0.112826",17.2,1313
"52.21381,0.127675","52.200132,0.134222",27.4,2175
"52.21381,0.127675","52.207484,0.125924",13.7,1074
"52.21381,0.127675","52.19617,0.126028",32.4,2603
"52.21381,0.127675","52.202093,0.116213",24.6,1997
"52.21381,0.127675","52.201027,0.125982",23.4,1866
"52.21381,0.127675","52.204605,0.137934",23,1808
"52.21381,0.127675","52.196092,0.155114",44,3584
"52.21381,0.127675","52.208346,0.133488",16.1,1297
"52.21381,0.127675","52.202987,0.138925",25.6,2014
"52.21381,0.127675","52.207449,0.122878",16.2,1289
"52.21381,0.127675","52.221817,0.118453",18.7,1494
"52.21381,0.127675","52.215658,0.116916",11.3,862
"52.21381,0.127675","52.20279,0.123446",22.2,1754
"52.21381,0.127675","52.210305,0.144955",23.8,1926
"52.21381,0.127675","52.212441,0.112782",17.2,1319
"52.21381,0.127675","52.204852,0.1402",23.7,1922
"52.21381,0.127675","52.2047,0.133197",20.4,1612
"52.21381,0.127675","52.204115,0.11827",22.2,1788
"52.21381,0.127675","52.205447,0.128666",16.3,1288
"52.21381,0.127675","52.197151,0.12947",29.3,2337
"52.21381,0.127675","52.200312,0.148074",38.9,3133
"52.21381,0.127675","52.194151,0.131287",34.1,2728
"52.21381,0.127675","52.20174,0.124801",22.5,1783
"52.21381,0.127675","52.202564,0.141934",28.1,2254
"52.21381,0.127675","52.2281,0.145945",26.9,2192
"52.21381,0.127675","52.200081,0.113542",28.8,2346
"52.21381,0.127675","52.215347,0.110694",18.3,1405
"52.21381,0.127675","52.19519,0.131527",32.7,2614
"52.21381,0.127675","52.175104,0.112942",64.3,5212
"52.21381,0.127675","52.209395,0.118653",13.7,1075
"52.21381,0.127675","52.207357,0.129475",13.7,1067
"52.21381,0.127675","52.188419,0.152841",55.1,4497
"52.21381,0.127675","52.201476,0.116505",25.3,2058
"52.21381,0.127675","52.222428,0.135906",16.2,1305
"52.21381,0.127675","52.209025,0.118255",14.3,1123
"52.21381,0.127675","52.214511,0.124679",4,300
"52.21381,0.127675","52.210943,0.112564",16.2,1265
"52.21381,0.127675","52.188744,0.138899",43.8,3524
"52.21381,0.127675","52.187377,0.147348",50.7,4119
"52.21381,0.127675","52.229653,0.127701",28.2,2284
"52.21381,0.127675","52.205707,0.134211",19.1,1504
"52.21381,0.127675","52.197912,0.123667",29.4,2347
"52.21381,0.127675","52.204654,0.13277",20.1,1599
"52.21381,0.127675","52.213738,0.124159",4.7,352
"52.21381,0.127675","52.199286,0.139698",31.2,2494
"52.196295,0.125083","52.210223,0.115604",23.2,1910
"52.196295,0.125083","52.200195,0.126718",7.3,581
"52.196295,0.125083","52.196903,0.107245",17,1381
"52.196295,0.125083","52.186903,0.171259",51.5,4204
"52.196295,0.125083","52.198688,0.135513",12.1,980
"52.196295,0.125083","52.213078,0.112826",28.9,2313
"52.196295,0.125083","52.200132,0.134222",11.8,959
"52.196295,0.125083","52.207484,0.125924",18.5,1530
"52.196295,0.125083","52.19617,0.126028",1,81
"52.196295,0.125083","52.202093,0.116213",12.8,1043
"52.196295,0.125083","52.201027,0.125982",8.6,687
"52.196295,0.125083","52.204605,0.137934",19.1,1541
"52.196295,0.125083","52.196092,0.155114",29.7,2467
"52.196295,0.125083","52.208346,0.133488",21.2,1728
"52.196295,0.125083","52.202987,0.138925",18.6,1504
"52.196295,0.125083","52.207449,0.122878",19,1565
"52.196295,0.125083","52.221817,0.118453",45.4,3661
"52.196295,0.125083","52.215658,0.116916",32.9,2680
"52.196295,0.125083","52.20279,0.123446",11.2,905
"52.196295,0.125083","52.210305,0.144955",32.1,2611
"52.196295,0.125083","52.212441,0.112782",27.6,2218
"52.196295,0.125083","52.204852,0.1402",22.3,1813
"52.196295,0.125083","52.2047,0.133197",14.7,1196
"52.196295,0.125083","52.204115,0.11827",13.4,1098
"52.196295,0.125083","52.205447,0.128666",15.3,1249
"52.196295,0.125083","52.197151,0.12947",4.8,384
"52.196295,0.125083","52.200312,0.148074",26.6,2188
"52.196295,0.125083","52.194151,0.131287",8.7,707
"52.196295,0.125083","52.20174,0.124801",9.9,794
"52.196295,0.125083","52.202564,0.141934",21.8,1794
"52.196295,0.125083","52.2281,0.145945",54.6,4426
"52.196295,0.125083","52.200081,0.113542",13.2,1067
"52.196295,0.125083","52.215347,0.110694",32.7,2606
"52.196295,0.125083","52.19519,0.131527",7.3,594
"52.196295,0.125083","52.175104,0.112942",33.1,2718
"52.196295,0.125083","52.209395,0.118653",21.5,1767
"52.196295,0.125083","52.207357,0.129475",18.1,1491
"52.196295,0.125083","52.188419,0.152841",32,2639
"52.196295,0.125083","52.201476,0.116505",12.1,987
"52.196295,0.125083","52.222428,0.135906",44,3539
"52.196295,0.125083","52.209025,0.118255",21,1719
"52.196295,0.125083","52.214511,0.124679",29.1,2369
"52.196295,0.125083","52.210943,0.112564",26.5,2164
"52.196295,0.125083","52.188744,0.138899",18.5,1503
"52.196295,0.125083","52.187377,0.147348",25.4,2099
"52.196295,0.125083","52.229653,0.127701",55.9,4518
"52.196295,0.125083","52.205707,0.134211",16.9,1351
"52.196295,0.125083","52.197912,0.123667",2.7,216
"52.196295,0.125083","52.204654,0.13277",16.8,1360
"52.196295,0.125083","52.213738,0.124159",29.4,2405
"52.196295,0.125083","52.199286,0.139698",16.8,1377
"52.210223,0.115604","52.200195,0.126718",16.7,1370
"52.210223,0.115604","52.196903,0.107245",26.3,2158
"52.210223,0.115604","52.186903,0.171259",66.5,5475
"52.210223,0.115604","52.198688,0.135513",27.3,2216
"52.210223,0.115604","52.213078,0.112826",5.7,404
"52.210223,0.115604","52.200132,0.134222",24.5,1988
"52.210223,0.115604","52.207484,0.125924",11.7,966
"52.210223,0.115604","52.19617,0.126028",24.3,1990
"52.210223,0.115604","52.202093,0.116213",13.2,1092
"52.210223,0.115604","52.201027,0.125982",15.5,1264
"52.210223,0.115604","52.204605,0.137934",22.9,1855
"52.210223,0.115604","52.196092,0.155114",41.1,3397
"52.210223,0.115604","52.208346,0.133488",17.8,1436
"52.210223,0.115604","52.202987,0.138925",25.5,2062
"52.210223,0.115604","52.207449,0.122878",9.1,751
"52.210223,0.115604","52.221817,0.118453",22.2,1752
"52.210223,0.115604","52.215658,0.116916",10.6,822
"52.210223,0.115604","52.20279,0.123446",13.6,1101
"52.210223,0.115604","52.210305,0.144955",31.4,2598
"52.210223,0.115604","52.212441,0.112782",4.4,309
"52.210223,0.115604","52.204852,0.1402",27,2184
"52.210223,0.115604","52.2047,0.133197",20.3,1659
"52.210223,0.115604","52.204115,0.11827",10.8,882
"52.210223,0.115604","52.205447,0.128666",15.7,1286
"52.210223,0.115604","52.197151,0.12947",21.8,1776
"52.210223,0.115604","52.200312,0.148074",38,3118
"52.210223,0.115604","52.194151,0.131287",26.6,2167
"52.210223,0.115604","52.20174,0.124801",14.3,1157
"52.210223,0.115604","52.202564,0.141934",29.5,2403
"52.210223,0.115604","52.2281,0.145945",37.5,3036
"52.210223,0.115604","52.200081,0.113542",17.7,1457
"52.210223,0.115604","52.215347,0.110694",9.5,697
"52.210223,0.115604","52.19519,0.131527",25.2,2053
"52.210223,0.115604","52.175104,0.112942",52.9,4306
"52.210223,0.115604","52.209395,0.118653",3.5,289
"52.210223,0.115604","52.207357,0.129475",14.4,1164
"52.210223,0.115604","52.188419,0.152841",49.9,4098
"52.210223,0.115604","52.201476,0.116505",13.9,1152
"52.210223,0.115604","52.222428,0.135906",26.8,2149
"52.210223,0.115604","52.209025,0.118255",3,241
"52.210223,0.115604","52.214511,0.124679",10.8,878
"52.210223,0.115604","52.210943,0.112564",3.3,255
"52.210223,0.115604","52.188744,0.138899",36.4,2962
"52.210223,0.115604","52.187377,0.147348",43.2,3558
"52.210223,0.115604","52.229653,0.127701",33.4,2661
"52.210223,0.115604","52.205707,0.134211",19,1551
"52.210223,0.115604","52.197912,0.123667",20.4,1662
"52.210223,0.115604","52.204654,0.13277",20.1,1646
"52.210223,0.115604","52.213738,0.124159",9.6,790
"52.210223,0.115604","52.199286,0.139698",28.2,2307
"52.200195,0.126718","52.196903,0.107245",20.4,1642
"52.200195,0.126718","52.186903,0.171259",52.6,4293
"52.200195,0.126718","52.198688,0.135513",12,966
"52.200195,0.126718","52.213078,0.112826",22.1,1773
"52.200195,0.126718","52.200132,0.134222",11.4,916
"52.200195,0.126718","52.207484,0.125924",11.2,949
"52.200195,0.126718","52.19617,0.126028",8,662
"52.200195,0.126718","52.202093,0.116213",12.1,1012
"52.200195,0.126718","52.201027,0.125982",1.3,106
"52.200195,0.126718","52.204605,0.137934",14.6,1182
"52.200195,0.126718","52.196092,0.155114",28,2325
"52.200195,0.126718","52.208346,0.133488",15.8,1315
"52.200195,0.126718","52.202987,0.138925",15.6,1272
"52.200195,0.126718","52.207449,0.122878",11.7,983
"52.200195,0.126718","52.221817,0.118453",38.5,3122
"52.200195,0.126718","52.215658,0.116916",26,2141
"52.200195,0.126718","52.20279,0.123446",7.2,593
"52.200195,0.126718","52.210305,0.144955",27.6,2252
"52.200195,0.126718","52.212441,0.112782",20.7,1679
"52.200195,0.126718","52.204852,0.1402",17.8,1454
"52.200195,0.126718","52.2047,0.133197",10.2,837
"52.200195,0.126718","52.204115,0.11827",10.6,877
"52.200195,0.126718","52.205447,0.128666",8.6,721
"52.200195,0.126718","52.197151,0.12947",5.1,406
"52.200195,0.126718","52.200312,0.148074",24.9,2046
"52.200195,0.126718","52.194151,0.131287",9.9,797
"52.200195,0.126718","52.20174,0.124801",2.7,213
"52.200195,0.126718","52.202564,0.141934",20.1,1653
"52.200195,0.126718","52.2281,0.145945",48.4,3951
"52.200195,0.126718","52.200081,0.113542",16.6,1327
"52.200195,0.126718","52.215347,0.110694",25.8,2067
"52.200195,0.126718","52.19519,0.131527",8.5,683
"52.200195,0.126718","52.175104,0.112942",39.6,3247
"52.200195,0.126718","52.209395,0.118653",14.6,1228
"52.200195,0.126718","52.207357,0.129475",11.4,963
"52.200195,0.126718","52.188419,0.152841",33.1,2728
"52.200195,0.126718","52.201476,0.116505",11.4,959
"52.200195,0.126718","52.222428,0.135906",37.8,3064
"52.200195,0.126718","52.209025,0.118255",14.1,1180
"52.200195,0.126718","52.214511,0.124679",22.4,1841
"52.200195,0.126718","52.210943,0.112564",19.6,1625
"52.200195,0.126718","52.188744,0.138899",19.6,1592
"52.200195,0.126718","52.187377,0.147348",26.5,2188
"52.200195,0.126718","52.229653,0.127701",49.7,4043
"52.200195,0.126718","52.205707,0.134211",12.3,992
"52.200195,0.126718","52.197912,0.123667",5,406
"52.200195,0.126718","52.204654,0.13277",12.3,1001
"52.200195,0.126718","52.213738,0.124159",22.7,1877
"52.200195,0.126718","52.199286,0.139698",15.2,1235
"52.196903,0.107245","52.186903,0.171259",65,5297
"52.196903,0.107245","52.198688,0.135513",28.8,2319
"52.196903,0.107245","52.213078,0.112826",29.4,2353
"52.196903,0.107245","52.200132,0.134222",29.4,2336
"52.196903,0.107245","52.207484,0.125924",25.1,2058
"52.196903,0.107245","52.19617,0.126028",18.1,1462
"52.196903,0.107245","52.202093,0.116213",12.9,1049
"52.196903,0.107245","52.201027,0.125982",22,1747
"52.196903,0.107245","52.204605,0.137934",32.5,2601
"52.196903,0.107245","52.196092,0.155114",46,3744
"52.196903,0.107245","52.208346,0.133488",32.2,2637
"52.196903,0.107245","52.202987,0.138925",33.6,2691
"52.196903,0.107245","52.207449,0.122878",24,1966
"52.196903,0.107245","52.221817,0.118453",45.9,3701
"52.196903,0.107245","52.215658,0.116916",34.3,2771
"52.196903,0.107245","52.20279,0.123446",19.2,1545
"52.196903,0.107245","52.210305,0.144955",45.6,3672
"52.196903,0.107245","52.212441,0.112782",28.1,2258
"52.196903,0.107245","52.204852,0.1402",35.8,2873
"52.196903,0.107245","52.2047,0.133197",28.2,2256
"52.196903,0.107245","52.204115,0.11827",16.9,1368
"52.196903,0.107245","52.205447,0.128666",26.7,2188
"52.196903,0.107245","52.197151,0.12947",21.4,1722
"52.196903,0.107245","52.200312,0.148074",42.9,3465
"52.196903,0.107245","52.194151,0.131287",25.5,2081
"52.196903,0.107245","52.20174,0.124801",21.8,1759
"52.196903,0.107245","52.202564,0.141934",38.1,3072
"52.196903,0.107245","52.2281,0.145945",60.9,4968
"52.196903,0.107245","52.200081,0.113542",8.6,701
"52.196903,0.107245","52.215347,0.110694",32.6,2594
"52.196903,0.107245","52.19519,0.131527",24.1,1968
"52.196903,0.107245","52.175104,0.112942",40.9,3349
"52.196903,0.107245","52.209395,0.118653",24.3,1999
"52.196903,0.107245","52.207357,0.129475",27.8,2284
"52.196903,0.107245","52.188419,0.152841",45.5,3732
"52.196903,0.107245","52.201476,0.116505",12.4,1013
"52.196903,0.107245","52.222428,0.135906",50.3,4081
